
1: municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida
43: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 17:30:00.0,0,00
44: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 18:30:00.0,0,00
45: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 19:30:00.0,0,00
46: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 20:20:00.0,2,40
47: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 20:30:00.0,1,80
48: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 20:40:00.0,0,60
49: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 21:10:00.0,0,20
50: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 21:20:00.0,0,80
51: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 21:30:00.0,2,60
52: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 21:40:00.0,1,00
53: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 21:50:00.0,0,20
54: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 22:00:00.0,0,20
55: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 22:10:00.0,0,60
56: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 22:30:00.0,0,20
57: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 22:40:00.0,0,00
58: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-02 23:30:00.0,0,00
59: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 00:30:00.0,0,00
60: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 01:30:00.0,0,00
61: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 02:30:00.0,0,00
62: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 03:30:00.0,0,00
63: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 04:10:00.0,4,40
64: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 04:20:00.0,0,20
65: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 04:30:00.0,0,00
66: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 05:00:00.0,0,20
67: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 05:10:00.0,0,20
68: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 05:30:00.0,0,00
69: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 06:30:00.0,0,00
70: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 07:30:00.0,0,00
71: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 08:30:00.0,0,00
72: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 09:30:00.0,0,00
73: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 10:30:00.0,0,00
74: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 11:30:00.0,0,00
75: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 12:30:00.0,0,00
76: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 13:30:00.0,1,20
77: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 13:40:00.0,0,80
78: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 14:30:00.0,0,00
79: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 15:30:00.0,0,00
80: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 16:30:00.0,0,00
81: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 17:30:00.0,0,20
82: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 17:50:00.0,0,40
83: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 18:10:00.0,0,40
84: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 18:30:00.0,0,00
85: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 19:30:00.0,0,00
86: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 20:30:00.0,0,00
87: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 21:20:00.0,0,20
88: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 21:30:00.0,0,00
89: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 22:30:00.0,0,00
90: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-03 23:30:00.0,0,00
91: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 00:30:00.0,0,00
92: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 01:30:00.0,0,00
93: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 02:30:00.0,0,00
94: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 03:30:00.0,0,00
95: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 04:30:00.0,0,00
96: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 05:30:00.0,0,00
97: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 06:30:00.0,0,00
98: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 07:30:00.0,0,00
99: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 08:30:00.0,0,00
100: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 09:30:00.0,0,00
101: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 10:30:00.0,0,00
102: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 11:30:00.0,0,00
103: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 12:30:00.0,0,00
104: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 13:30:00.0,0,00
105: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 14:30:00.0,0,00
106: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 15:30:00.0,0,00
107: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 16:30:00.0,0,00
108: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 17:30:00.0,0,00
109: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 18:30:00.0,0,00
110: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 19:30:00.0,0,00
111: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 20:30:00.0,0,00
112: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 21:30:00.0,0,00
113: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 22:30:00.0,0,00
114: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-04 23:30:00.0,0,00
115: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 00:30:00.0,0,00
116: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 01:30:00.0,0,00
117: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 02:10:00.0,0,40
118: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 02:20:00.0,15,20
119: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 02:30:00.0,8,60
120: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 02:40:00.0,1,00
121: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 02:50:00.0,0,40
122: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 03:30:00.0,0,00
123: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 04:30:00.0,0,00
124: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 05:30:00.0,0,00
125: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 06:30:00.0,0,00
126: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 07:30:00.0,0,00
127: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 08:30:00.0,0,00
128: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 09:30:00.0,0,00
129: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 10:30:00.0,0,00
130: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 11:30:00.0,0,00
131: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 12:30:00.0,0,00
132: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 13:30:00.0,0,00
133: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 14:30:00.0,0,00
134: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 15:30:00.0,0,00
135: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 16:30:00.0,0,00
136: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 17:30:00.0,0,00
137: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 18:30:00.0,0,00
138: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 19:30:00.0,0,00
139: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 20:30:00.0,0,00
140: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 21:30:00.0,0,00
141: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 22:30:00.0,0,00
142: ÁGUAS DE LINDÓIA,350050101A,SP,Jardim São Francisco,-22,475,-46,628,2025-01-05 23:30:00.0,0,00
